Price,Close,High,Low,Open,Volume,GMM_Label,Max_Prob
2013-07-11,19676.060546875,19723.509765625,19468.4609375,19468.4609375,8400.0,2,0.9331569769278891
2013-07-12,19958.470703125,19991.939453125,19785.58984375,19898.689453125,7600.0,2,0.9957306347909294
2013-07-15,20034.48046875,20072.439453125,19883.189453125,19926.099609375,7000.0,2,0.9969630271388925
2013-07-16,19851.23046875,19890.630859375,19649.580078125,19788.08984375,8000.0,2,0.9895055575603885
2013-07-17,19948.73046875,19983.220703125,19778.5390625,19928.94921875,10400.0,2,0.9912376426318017
2013-07-18,20128.41015625,20176.900390625,19956.19921875,19999.509765625,9800.0,2,0.9921105490040715
2013-07-19,20149.849609375,20256.599609375,20111.130859375,20213.44921875,11600.0,2,0.9972045695252174
2013-07-22,20159.119140625,20264.900390625,20065.689453125,20096.7109375,9400.0,2,0.994440906253981
2013-07-23,20302.130859375,20351.060546875,20249.98046875,20249.98046875,7800.0,2,0.9967161255102436
2013-07-24,20090.6796875,20252.69921875,19994.25,20200.19921875,8000.0,2,0.9948118461566905
2013-07-25,19804.759765625,20110.810546875,19763.900390625,20062.0,12800.0,2,0.669337536567866
2013-07-26,19748.189453125,19907.44921875,19699.759765625,19892.470703125,11000.0,2,0.9951680502210489
2013-07-29,19593.279296875,19751.029296875,19570.869140625,19714.419921875,9900.0,2,0.996896526315056
2013-07-30,19348.33984375,19672.720703125,19328.5390625,19577.75,9500.0,2,0.6303711513390118
2013-07-31,19345.69921875,19387.5,19126.8203125,19304.0703125,13900.0,2,0.954372481928305
2013-08-01,19317.189453125,19569.19921875,19170.4609375,19443.2890625,10600.0,2,0.6011747971490361
2013-08-02,19164.01953125,19451.69921875,19078.720703125,19399.55078125,8600.0,2,0.6239499960538574
2013-08-05,19182.259765625,19306.509765625,19141.6796875,19178.060546875,12000.0,2,0.9945180695044511
2013-08-06,18733.0390625,19131.919921875,18667.30078125,19127.099609375,13800.0,1,0.9995857174565014
2013-08-07,18664.880859375,18811.4609375,18551.349609375,18758.529296875,12800.0,2,0.9916224511463563
2013-08-08,18789.33984375,18829.259765625,18621.669921875,18687.30078125,11900.0,2,0.9946700865473004
2013-08-12,18946.98046875,19066.970703125,18796.009765625,18898.939453125,11700.0,2,0.9899235680466806
2013-08-13,19229.83984375,19248.109375,18864.810546875,18895.259765625,11900.0,1,0.9977784122806317
2013-08-14,19367.58984375,19392.560546875,19203.630859375,19299.419921875,14700.0,2,0.9933787600288707
2013-08-16,18598.1796875,19310.94921875,18559.650390625,19297.109375,14300.0,1,0.9999682296124062
2013-08-19,18307.51953125,18587.380859375,18139.150390625,18587.380859375,14300.0,1,0.9981095998991895
2013-08-20,18246.0390625,18306.4609375,17970.98046875,18142.830078125,18200.0,2,0.6323204846959737
2013-08-21,17905.91015625,18567.69921875,17807.189453125,18545.439453125,17400.0,1,0.9999802195807308
2013-08-22,18312.939453125,18349.8203125,17759.58984375,17896.83984375,19800.0,1,0.9999907649536636
2013-08-23,18519.439453125,18546.599609375,18210.75,18386.529296875,19200.0,1,0.7166373779184803
2013-08-26,18558.130859375,18728.189453125,18488.9296875,18602.560546875,17200.0,2,0.9907435209337637
2013-08-27,17968.080078125,18460.720703125,17921.8203125,18460.720703125,17800.0,1,0.9999944377654256
2013-08-28,17996.150390625,18101.83984375,17448.7109375,17851.439453125,21400.0,1,0.9999849900806984
2013-08-29,18401.0390625,18455.66015625,18071.220703125,18073.66015625,18600.0,1,0.9982557027630053
2013-08-30,18619.720703125,18679.259765625,18272.759765625,18424.720703125,18600.0,1,0.9829000210751272
2013-09-02,18886.130859375,18942.060546875,18678.9296875,18691.830078125,10800.0,2,0.9296263798814401
2013-09-03,18234.66015625,19007.310546875,18166.169921875,19002.76953125,19400.0,1,0.9999557564872998
2013-09-04,18567.55078125,18612.599609375,18188.4296875,18314.6796875,14400.0,1,0.9984724964233195
2013-09-05,18979.759765625,19117.51953125,18847.01953125,18857.599609375,13800.0,2,0.8584327243191924
2013-09-06,19270.060546875,19293.9609375,18929.380859375,19072.01953125,15600.0,1,0.9261361411633071
2013-09-10,19997.099609375,20012.689453125,19444.66015625,19448.390625,17800.0,1,0.9999855995637232
2013-09-11,19997.44921875,20055.529296875,19777.630859375,19999.76953125,15700.0,2,0.8825711774976384
2013-09-12,19781.880859375,20052.05078125,19676.490234375,20046.05078125,11900.0,1,0.6890734387237316
2013-09-13,19732.759765625,19899.369140625,19675.6796875,19744.5390625,10600.0,2,0.9903710050208874
2013-09-16,19742.470703125,20086.4296875,19596.150390625,19977.380859375,11200.0,1,0.9963909404430935
2013-09-17,19804.029296875,19819.099609375,19635.439453125,19721.900390625,9900.0,2,0.9951063850019741
2013-09-18,19962.16015625,20013.330078125,19775.2890625,19865.990234375,9300.0,2,0.9927326619716745
2013-09-19,20646.640625,20739.689453125,20347.30078125,20354.73046875,18300.0,1,0.9967512097708553
2013-09-20,20263.7109375,20677.990234375,20051.4296875,20616.349609375,13500.0,1,0.9999920642088407
2013-09-23,19900.9609375,20199.810546875,19826.30078125,20060.8203125,11100.0,2,0.6203898308172228
2013-09-24,19920.2109375,20050.419921875,19782.779296875,19820.029296875,10700.0,2,0.961061461581895
2013-09-25,19856.240234375,19978.490234375,19658.740234375,19947.4296875,13900.0,2,0.7511553470684164
2013-09-26,19893.849609375,19997.279296875,19826.990234375,19853.66015625,14900.0,2,0.9927798006442116
2013-09-27,19727.26953125,19981.5703125,19674.380859375,19951.73046875,11800.0,2,0.9322638613517451
2013-09-30,19379.76953125,19651.310546875,19320.73046875,19643.890625,10000.0,2,0.792327043144187
2013-10-01,19517.150390625,19532.91015625,19264.720703125,19452.05078125,9200.0,2,0.8666949570049945
2013-10-03,19902.0703125,19929.240234375,19583.970703125,19585.7890625,15700.0,1,0.9749272039381784
2013-10-04,19915.94921875,20052.0,19833.169921875,19870.0,12900.0,2,0.986128392798763
2013-10-07,19895.099609375,19921.380859375,19647.880859375,19880.939453125,12300.0,2,0.6478543018105166
2013-10-08,19983.609375,20150.26953125,19936.720703125,20094.2109375,10900.0,2,0.9961706307358051
2013-10-09,20249.259765625,20277.740234375,19826.9609375,19918.19921875,10200.0,1,0.999954093829668
2013-10-10,20272.91015625,20323.76953125,20135.91015625,20228.759765625,10400.0,2,0.9970356787879571
2013-10-11,20528.58984375,20559.689453125,20368.060546875,20535.900390625,11700.0,2,0.9850032784980647
2013-10-14,20607.5390625,20645.939453125,20497.880859375,20534.609375,8900.0,2,0.9974126364248391
2013-10-15,20547.619140625,20759.580078125,20446.73046875,20722.900390625,13600.0,2,0.9459997110402174
2013-10-17,20415.509765625,20629.80078125,20375.419921875,20579.560546875,10300.0,2,0.9896693649747085
2013-10-18,20882.890625,20932.23046875,20486.779296875,20486.779296875,15700.0,1,0.999988642880787
2013-10-21,20893.890625,20970.919921875,20768.990234375,20915.759765625,12200.0,2,0.9956318923593
2013-10-22,20864.970703125,20948.91015625,20810.25,20863.150390625,10700.0,2,0.9970133016873007
2013-10-23,20767.880859375,20922.3203125,20589.720703125,20875.310546875,11200.0,2,0.8651003893877809
2013-10-24,20725.4296875,21039.419921875,20656.69921875,20766.05078125,8200.0,1,0.9771318976322981
2013-10-25,20683.51953125,20782.16015625,20622.55078125,20725.51953125,9600.0,2,0.9979312478549105
2013-10-28,20570.279296875,20771.359375,20550.640625,20696.509765625,8100.0,2,0.9941865710605383
2013-10-29,20929.009765625,20952.55078125,20493.66015625,20593.490234375,11300.0,1,0.9999750834793397
2013-10-30,21033.970703125,21086.58984375,20937.119140625,20944.140625,10400.0,2,0.9950957327130013
2013-10-31,21164.51953125,21205.439453125,20991.98046875,21000.599609375,11900.0,2,0.9816545749573863
2013-11-01,21196.810546875,21293.880859375,21141.3203125,21158.810546875,10000.0,2,0.994359186281411
2013-11-05,20974.7890625,21158.560546875,20951.7109375,21134.099609375,11900.0,2,0.992746301669277
2013-11-06,20894.939453125,21045.380859375,20861.419921875,21004.5390625,10900.0,2,0.9963082594146858
2013-11-07,20822.76953125,21142.849609375,20797.060546875,20896.130859375,11900.0,1,0.9647958280307609
2013-11-08,20666.150390625,20821.009765625,20600.900390625,20785.19921875,10700.0,2,0.9956254420629869
2013-11-11,20490.9609375,20672.529296875,20453.150390625,20596.400390625,10300.0,2,0.9951379642735011
2013-11-12,20281.91015625,20584.220703125,20262.220703125,20510.310546875,10200.0,2,0.8365370097042885
2013-11-13,20194.400390625,20365.58984375,20161.640625,20248.51953125,9000.0,2,0.994498281178669
2013-11-14,20399.419921875,20568.990234375,20348.26953125,20351.390625,12600.0,2,0.8990030031085857
2013-11-18,20850.740234375,20868.759765625,20570.58984375,20570.58984375,10900.0,1,0.6197556881188837
2013-11-19,20890.8203125,20934.400390625,20828.689453125,20870.16015625,11400.0,2,0.9960022511028515
2013-11-20,20635.130859375,20895.30078125,20579.939453125,20857.009765625,8900.0,2,0.9368617912957907
2013-11-21,20229.05078125,20579.259765625,20189.23046875,20579.259765625,8100.0,1,0.9193164533462583
2013-11-22,20217.390625,20388.119140625,20137.669921875,20316.580078125,10600.0,2,0.9948602309578631
2013-11-25,20605.080078125,20626.150390625,20326.66015625,20326.66015625,8200.0,1,0.5820870282626549
2013-11-26,20425.01953125,20604.26953125,20390.619140625,20604.26953125,10500.0,2,0.9921441672484883
2013-11-27,20420.259765625,20482.669921875,20348.060546875,20449.0,7000.0,2,0.9983405196549834
2013-11-28,20534.91015625,20606.380859375,20461.509765625,20522.359375,9000.0,2,0.9980184276460939
2013-11-29,20791.9296875,20819.76953125,20558.9296875,20558.9296875,11200.0,2,0.8572439776723003
2013-12-02,20898.009765625,20941.0,20770.509765625,20771.26953125,9600.0,2,0.9935972532460269
2013-12-03,20854.919921875,20927.05078125,20817.75,20857.849609375,12000.0,2,0.9953854929129916
2013-12-04,20708.7109375,20863.369140625,20673.619140625,20839.44921875,12200.0,2,0.9951662114482503
2013-12-05,20957.810546875,21165.599609375,20929.19921875,20992.25,11900.0,2,0.9462958341759127
2013-12-06,20996.529296875,21049.83984375,20922.44921875,20955.740234375,10100.0,2,0.9968649338115786
2013-12-09,21326.419921875,21483.740234375,21282.640625,21416.669921875,13400.0,2,0.9950141319058695
2013-12-10,21255.259765625,21327.75,21175.080078125,21293.580078125,17300.0,2,0.9941551002149045
2013-12-11,21171.41015625,21215.939453125,21069.44921875,21191.26953125,10600.0,2,0.995637993159567
2013-12-12,20925.609375,21103.80078125,20901.470703125,21101.05078125,9100.0,2,0.9937787194598892
2013-12-13,20715.580078125,20867.169921875,20692.669921875,20867.169921875,9500.0,2,0.9954839267258699
2013-12-16,20659.51953125,20764.51953125,20637.76953125,20714.259765625,10300.0,2,0.9967050278128097
2013-12-17,20612.140625,20784.029296875,20594.990234375,20732.439453125,8300.0,2,0.9964680235590364
2013-12-18,20859.859375,20917.5703125,20568.69921875,20568.69921875,8400.0,1,0.9520329339016811
2013-12-19,20708.619140625,21017.44921875,20646.029296875,20959.80078125,10300.0,2,0.5640498005584375
2013-12-20,21079.720703125,21117.990234375,20745.939453125,20792.369140625,9100.0,1,0.9737970337758587
2013-12-23,21101.029296875,21207.890625,21059.119140625,21080.5390625,6700.0,2,0.9961123077769704
2013-12-24,21032.7109375,21156.919921875,21010.650390625,21127.66015625,5800.0,2,0.9981265930401272
2013-12-26,21074.58984375,21135.849609375,21013.140625,21051.0,7300.0,2,0.9978020245083604
2013-12-27,21193.580078125,21235.140625,21113.25,21114.490234375,5500.0,2,0.9973738819429981
2013-12-30,21143.009765625,21304.69921875,21089.2109375,21260.150390625,6100.0,2,0.9974562183392403
2013-12-31,21170.6796875,21230.880859375,21122.6796875,21177.76953125,5000.0,2,0.9983551550180861
2014-01-01,21140.48046875,21244.349609375,21133.8203125,21222.189453125,4000.0,2,0.9981552307266387
2014-01-02,20888.330078125,21331.3203125,20846.669921875,21179.91015625,9300.0,1,0.9996845650677118
2014-01-03,20851.330078125,20885.1796875,20731.330078125,20819.580078125,9300.0,2,0.9971397875578134
2014-01-06,20787.30078125,20913.7890625,20721.98046875,20913.7890625,7600.0,2,0.9963499574462912
2014-01-07,20693.240234375,20890.48046875,20637.1796875,20845.76953125,8100.0,2,0.9933111652327732
2014-01-08,20729.380859375,20786.41015625,20688.1796875,20767.419921875,8000.0,2,0.9971515668647056
2014-01-09,20713.369140625,20778.130859375,20652.689453125,20755.73046875,9000.0,2,0.9974100108546982
2014-01-10,20758.490234375,20971.23046875,20625.169921875,20760.720703125,10400.0,2,0.8692786114845763
2014-01-13,21134.2109375,21169.080078125,20850.5390625,20850.5390625,7900.0,1,0.7753103438674284
2014-01-14,21032.880859375,21154.759765625,21009.05078125,21115.0,5600.0,2,0.998265380971653
2014-01-15,21289.490234375,21302.73046875,21091.4609375,21091.4609375,9400.0,2,0.974957724208359
2014-01-16,21265.1796875,21379.2890625,21199.650390625,21366.91015625,13400.0,2,0.9946184547833742
2014-01-17,21063.619140625,21270.109375,21015.609375,21236.650390625,12000.0,2,0.987134633887019
2014-01-20,21205.05078125,21221.369140625,21001.130859375,21083.529296875,6000.0,2,0.991803910133984
2014-01-21,21251.119140625,21302.51953125,21189.19921875,21237.9609375,9400.0,2,0.9969615321960282
2014-01-22,21337.669921875,21377.91015625,21168.4296875,21251.650390625,13400.0,2,0.9927050440386095
2014-01-23,21373.66015625,21409.66015625,21264.7109375,21319.689453125,6500.0,2,0.9979902138132293
2014-01-24,21133.560546875,21333.66015625,21123.990234375,21289.150390625,10800.0,2,0.9917870784557126
2014-01-27,20707.44921875,20899.029296875,20688.029296875,20899.029296875,10100.0,2,0.9911120053423192
2014-01-28,20683.509765625,20795.349609375,20554.279296875,20721.169921875,8200.0,2,0.996361983694003
2014-01-29,20647.30078125,20828.6796875,20613.619140625,20784.0390625,7800.0,2,0.9962369726056849
2014-01-30,20498.25,20528.41015625,20343.779296875,20491.740234375,12600.0,2,0.9897289127714645
2014-01-31,20513.849609375,20572.3203125,20448.4296875,20544.640625,6100.0,2,0.9983992150505558
2014-02-03,20209.259765625,20480.349609375,20182.19921875,20479.029296875,5700.0,2,0.9316176645090066
2014-02-04,20211.9296875,20255.51953125,19963.119140625,20050.990234375,9800.0,2,0.9251057782017544
2014-02-05,20261.029296875,20289.330078125,20076.099609375,20241.119140625,9300.0,2,0.9852201222769962
2014-02-06,20310.740234375,20358.189453125,20079.8203125,20286.08984375,12400.0,2,0.9001778176565906
2014-02-07,20376.560546875,20450.509765625,20282.30078125,20441.0390625,11100.0,2,0.9954746896177057
2014-02-10,20334.26953125,20434.5,20312.2109375,20429.16015625,7900.0,2,0.9974405847986438
2014-02-11,20363.369140625,20443.349609375,20349.509765625,20400.939453125,9400.0,2,0.996242565057252
2014-02-12,20448.490234375,20516.599609375,20427.23046875,20449.830078125,10100.0,2,0.995134360346428
2014-02-13,20193.349609375,20503.859375,20164.669921875,20478.669921875,7900.0,2,0.7040358312970376
2014-02-14,20366.8203125,20391.94921875,20149.009765625,20265.130859375,8300.0,2,0.9845323025550345
2014-02-17,20464.060546875,20492.4296875,20338.94921875,20438.869140625,6100.0,2,0.9978893837857797
2014-02-18,20634.2109375,20685.01953125,20436.48046875,20457.560546875,9400.0,2,0.9685612599754378
2014-02-19,20722.970703125,20750.51953125,20629.560546875,20643.849609375,4700.0,2,0.9982279993995694
2014-02-20,20536.640625,20662.66015625,20522.0390625,20661.0703125,6000.0,2,0.9977540863901246
2014-02-21,20700.75,20725.0390625,20599.91015625,20600.580078125,6300.0,2,0.997258998419067
2014-02-24,20811.439453125,20828.630859375,20637.30078125,20695.48046875,12500.0,2,0.9922263739491324
2014-02-25,20852.470703125,20912.5390625,20777.73046875,20877.720703125,9500.0,2,0.997428662929336
2014-02-26,20986.990234375,21005.0390625,20860.01953125,20869.609375,8500.0,2,0.9958521598853174
2014-02-28,21120.119140625,21140.509765625,20989.66015625,20995.390625,11400.0,2,0.9935228924062556
2014-03-03,20946.650390625,21140.0,20920.98046875,21079.26953125,121600.0,0,1.0
2014-03-04,21209.73046875,21224.640625,20940.390625,20947.0,9700.0,2,0.6310297075572261
2014-03-05,21276.859375,21333.19921875,21176.16015625,21280.359375,7500.0,2,0.9979260071560981
2014-03-06,21513.869140625,21525.140625,21329.880859375,21336.3203125,9700.0,2,0.9850856601235021
2014-03-07,21919.7890625,21960.890625,21539.439453125,21539.439453125,15200.0,1,0.9999378115024645
2014-03-10,21934.830078125,22023.98046875,21805.220703125,21819.189453125,15500.0,2,0.9774713701362826
2014-03-11,21826.419921875,22018.51953125,21772.109375,21918.830078125,12000.0,2,0.9912788902435509
2014-03-12,21856.220703125,21965.94921875,21768.140625,21793.3203125,10400.0,2,0.9908079358551778
2014-03-13,21774.609375,21991.359375,21720.130859375,21736.609375,9500.0,2,0.5161953813730895
2014-03-14,21809.80078125,21853.3203125,21573.48046875,21648.05078125,8800.0,2,0.9515028734411874
2014-03-18,21832.609375,22040.720703125,21785.380859375,21849.650390625,8600.0,2,0.9441152431938147
2014-03-19,21832.859375,21895.830078125,21782.009765625,21872.6796875,11000.0,2,0.9953302101603092
2014-03-20,21740.08984375,21853.25,21704.66015625,21797.609375,7600.0,2,0.9976194579934692
2014-03-21,21753.75,21870.109375,21729.900390625,21823.51953125,60600.0,2,0.9918157318863726
2014-03-24,22055.48046875,22074.33984375,21827.5,21827.5,9000.0,2,0.9122466094937576
2014-03-25,22055.2109375,22079.9609375,21916.869140625,21948.310546875,7800.0,2,0.9958891076564423
2014-03-26,22095.30078125,22172.19921875,22020.580078125,22134.7109375,10600.0,2,0.9965910242903898
2014-03-27,22214.369140625,22307.740234375,22094.2890625,22116.23046875,10400.0,2,0.9881380179254374
2014-03-28,22339.970703125,22363.970703125,22185.109375,22273.439453125,9200.0,2,0.9948391409681686
2014-03-31,22386.26953125,22467.2109375,22253.779296875,22423.140625,11200.0,2,0.9932967089404453
2014-04-01,22446.439453125,22485.76953125,22295.650390625,22455.23046875,11000.0,2,0.9880925686449966
2014-04-02,22551.490234375,22592.099609375,22473.4609375,22550.580078125,15700.0,2,0.991563819663029
2014-04-03,22509.0703125,22620.650390625,22369.279296875,22598.189453125,7400.0,2,0.9866814278915756
2014-04-04,22359.5,22525.2109375,22339.400390625,22522.4609375,7100.0,2,0.9949441470098241
2014-04-07,22343.44921875,22481.619140625,22197.509765625,22355.560546875,4700.0,2,0.9942633145632261
2014-04-09,22702.33984375,22740.0390625,22379.94921875,22389.2109375,8500.0,1,0.9794934791070251
2014-04-10,22715.330078125,22792.490234375,22644.4296875,22729.4609375,10900.0,2,0.9963720000312387
2014-04-11,22628.9609375,22679.1796875,22526.890625,22642.05078125,9500.0,2,0.9957765115265805
2014-04-15,22484.9296875,22737.310546875,22416.240234375,22698.08984375,8600.0,2,0.9363040906109245
2014-04-16,22277.23046875,22533.609375,22247.390625,22486.73046875,6700.0,2,0.972258059919347
2014-04-17,22628.83984375,22648.689453125,22312.189453125,22327.759765625,8500.0,1,0.9154719319872806
2014-04-21,22764.830078125,22795.580078125,22636.75,22644.75,9100.0,2,0.9932089789585897
2014-04-22,22758.369140625,22853.029296875,22727.630859375,22771.240234375,9000.0,2,0.9948635553641076
2014-04-23,22876.5390625,22912.51953125,22780.130859375,22783.650390625,7200.0,2,0.9950417376024554
2014-04-25,22688.0703125,22939.310546875,22656.640625,22892.5,7500.0,2,0.9735752959779987
2014-04-28,22631.609375,22721.359375,22597.189453125,22717.58984375,6900.0,2,0.9962799385570172
2014-04-29,22466.189453125,22681.890625,22443.560546875,22654.279296875,7700.0,2,0.9895463349966374
2014-04-30,22417.80078125,22680.4609375,22284.9609375,22517.630859375,9700.0,2,0.6791099597416121
2014-05-02,22403.890625,22575.619140625,22386.94921875,22493.58984375,6300.0,2,0.9956225663515029
2014-05-05,22445.119140625,22592.029296875,22354.44921875,22412.80078125,11700.0,2,0.9848956169520404
2014-05-06,22508.419921875,22602.7109375,22475.650390625,22512.23046875,6200.0,2,0.9964747647670348
2014-05-07,22323.900390625,22532.8203125,22286.259765625,22488.9609375,10800.0,2,0.9887330478933144
2014-05-08,22344.0390625,22443.130859375,22277.0390625,22382.140625,6000.0,2,0.998231215767347
2014-05-09,22994.23046875,23048.490234375,22317.1796875,22374.98046875,11300.0,1,0.9998734203227863
2014-05-12,23551.0,23572.880859375,23008.650390625,23031.109375,12400.0,1,0.9999820858065621
2014-05-13,23871.23046875,24068.939453125,23729.25,23729.779296875,18200.0,1,0.960472147425302
2014-05-14,23815.119140625,23964.669921875,23753.359375,23897.880859375,11500.0,2,0.9946790731494378
2014-05-15,23905.599609375,23971.779296875,23742.75,23809.419921875,14900.0,2,0.9879105317969609
2014-05-16,24121.740234375,25375.630859375,23873.16015625,24271.5390625,35700.0,0,0.9999998086293701
2014-05-19,24363.05078125,24448.470703125,24107.990234375,24340.3203125,23500.0,2,0.7268958399577838
2014-05-20,24376.880859375,24587.16015625,24299.529296875,24555.310546875,19000.0,2,0.9610855426463141
2014-05-21,24298.01953125,24419.5390625,24156.470703125,24404.48046875,18000.0,2,0.9547906093044525
2014-05-22,24374.400390625,24524.759765625,24326.48046875,24415.419921875,14500.0,2,0.9896050275738811
2014-05-23,24693.349609375,24745.859375,24470.779296875,24535.140625,21200.0,2,0.9374238025872882
2014-05-26,24716.880859375,25175.220703125,24433.900390625,24913.890625,21900.0,1,0.9999940335464361
2014-05-27,24549.509765625,24777.310546875,24422.330078125,24748.099609375,12600.0,2,0.758065795745677
2014-05-28,24556.08984375,24643.330078125,24488.810546875,24591.609375,15100.0,2,0.9922288924594282
2014-05-29,24234.150390625,24528.19921875,24206.5,24523.130859375,16000.0,2,0.6916772360699456
2014-05-30,24217.33984375,24353.58984375,24163.619140625,24300.990234375,14900.0,2,0.9927954386735546
2014-06-02,24684.849609375,24709.08984375,24270.19921875,24368.9609375,14400.0,1,0.9997455992795099
2014-06-03,24858.58984375,24892.060546875,24626.970703125,24729.220703125,21100.0,2,0.9481058573954547
2014-06-04,24805.830078125,24925.900390625,24773.9296875,24909.029296875,14800.0,2,0.9880002285448843
2014-06-05,25019.509765625,25044.060546875,24644.880859375,24828.380859375,17500.0,1,0.9872517510273379
2014-06-06,25396.4609375,25419.140625,25129.759765625,25204.94921875,18100.0,2,0.8174892634704849
2014-06-09,25580.2109375,25644.76953125,25496.83984375,25543.599609375,15300.0,2,0.9882262498607363
2014-06-10,25583.689453125,25711.109375,25347.330078125,25706.349609375,13600.0,1,0.9284547472987409
2014-06-11,25473.890625,25735.869140625,25365.650390625,25650.619140625,14000.0,2,0.8141600808745768
2014-06-12,25576.2109375,25611.3203125,25409.689453125,25597.2109375,10200.0,2,0.9565320203598153
2014-06-13,25228.169921875,25688.310546875,25171.609375,25677.05078125,14700.0,1,0.9999785567747856
2014-06-16,25190.48046875,25268.41015625,25063.9296875,25239.5,12000.0,2,0.9874229652923122
2014-06-17,25521.189453125,25545.880859375,25104.5,25189.4609375,11300.0,1,0.9998441782792051
2014-06-18,25246.25,25609.279296875,25114.30078125,25565.189453125,13200.0,1,0.9985513890244645
2014-06-19,25201.80078125,25425.849609375,25069.66015625,25327.08984375,15200.0,2,0.9106368961687283
2014-06-20,25105.509765625,25276.310546875,25056.1796875,25237.5390625,8800.0,2,0.9925368035760215
2014-06-23,25031.3203125,25197.5,24878.66015625,25108.08984375,10200.0,2,0.9713548034431062
2014-06-24,25368.900390625,25414.689453125,25115.830078125,25115.830078125,9700.0,1,0.508406573071588
2014-06-25,25313.740234375,25427.80078125,25274.390625,25421.490234375,7700.0,2,0.9927985082822994
2014-06-26,25062.669921875,25309.330078125,25021.23046875,25217.689453125,10300.0,2,0.9652870707819049
2014-06-27,25099.919921875,25209.609375,25032.939453125,25132.080078125,10100.0,2,0.9948818816515377
2014-06-30,25413.779296875,25460.9609375,25179.55078125,25179.55078125,9500.0,2,0.7090198777597374
2014-07-01,25516.349609375,25571.900390625,25466.76953125,25469.939453125,10600.0,2,0.9806918392141148
2014-07-02,25841.2109375,25864.529296875,25660.16015625,25660.5703125,12300.0,2,0.9578984236798763
2014-07-03,25823.75,25999.080078125,25793.69921875,25875.75,3700.0,2,0.9902526318182079
2014-07-04,25962.060546875,25981.509765625,25659.330078125,25844.80078125,9500.0,1,0.5665087241424581
2014-07-07,26100.080078125,26123.55078125,25992.73046875,26039.669921875,8900.0,2,0.9895113888761164
2014-07-08,25582.109375,26190.439453125,25495.0390625,26166.919921875,12700.0,1,0.9999872666563284
2014-07-09,25444.810546875,25683.970703125,25364.76953125,25615.279296875,10500.0,2,0.9543301864624328
2014-07-10,25372.75,25920.4609375,25239.890625,25513.740234375,16900.0,1,0.9999679835611679
2014-07-11,25024.349609375,25548.330078125,24978.330078125,25488.859375,18600.0,1,0.9999950400763434
2014-07-14,25006.98046875,25095.759765625,24892.0,25093.16015625,11400.0,2,0.9825154385102655
2014-07-15,25228.650390625,25254.48046875,25020.3203125,25100.900390625,8100.0,2,0.980502251046892
2014-07-16,25549.720703125,25602.779296875,25246.75,25322.169921875,9600.0,1,0.7395709827745183
2014-07-17,25561.16015625,25613.029296875,25494.4609375,25540.919921875,21900.0,2,0.9764056981993264
2014-07-18,25641.560546875,25713.400390625,25441.240234375,25558.48046875,8300.0,2,0.9815392304706181
2014-07-21,25715.169921875,25861.150390625,25677.7109375,25776.5390625,7600.0,2,0.9932791297103039
